img_path,label
"dataset\CARRIER3_Panel aging, rust or breach\1052_selected_image.jpg",2
dataset\CARRIER1_Door Damage\420_selected_image.jpg,0
"dataset\CARRIER3_Panel aging, rust or breach\1940_selected_image.jpg",2
"dataset\CARRIER3_Panel aging, rust or breach\23_selected_image.jpg",2
dataset\CARRIER1_Door Damage\948_selected_image.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\84_selected_image.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\375_selected_image.jpg",2
"dataset\SHIPPER1_Floor stains, contamination or cracks\941_selected_image.jpg",4
dataset\CARRIER4_Placards removal\1427_selected_image.jpg,3
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1166_selected_image.jpg,6
dataset\CARRIER1_Door Damage\857_selected_image.jpg,0
dataset\CARRIER2_Panel dents or scratches\GESU6916660_130617_02.jpg,1
dataset\CARRIER4_Placards removal\1778_selected_image.jpg,3
"dataset\SHIPPER1_Floor stains, contamination or cracks\569_selected_image.jpg",4
dataset\CARRIER4_Placards removal\813_selected_image.jpg,3
dataset\CARRIER1_Door Damage\KWLU 2070053-1.JPG,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1342_selected_image.jpg,6
dataset\SHIPPER4_Panel or Sidewalls dirts\47_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\1290_selected_image.jpg,5
dataset\CARRIER4_Placards removal\1717_selected_image.jpg,3
dataset\CARRIER1_Door Damage\576_selected_image.jpg,0
dataset\CARRIER1_Door Damage\ECMU1122649_140307_03.jpg,0
dataset\CARRIER2_Panel dents or scratches\1131_selected_image.jpg,1
dataset\CARRIER2_Panel dents or scratches\KWLU2092495_130704_02.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\2378_selected_image.jpg,7
dataset\SHIPPER2_Panel or Sidewall protrusion\1393_selected_image.jpg,5
dataset\SHIPPER2_Panel or Sidewall protrusion\146_selected_image.jpg,5
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1027_selected_image.jpg,6
dataset\CARRIER1_Door Damage\KWLU2070027_131129_07.jpg,0
dataset\CARRIER4_Placards removal\2240_selected_image.jpg,3
dataset\SHIPPER2_Panel or Sidewall protrusion\1232_selected_image.jpg,5
dataset\SHIPPER4_Panel or Sidewalls dirts\693_selected_image.jpg,7
"dataset\SHIPPER1_Floor stains, contamination or cracks\TEMU 2424106-2.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\KWLU5121534-6.jpg,6
dataset\CARRIER4_Placards removal\1639_selected_image.jpg,3
dataset\CARRIER2_Panel dents or scratches\1099_selected_image.jpg,1
dataset\CARRIER1_Door Damage\GESU2726933_131223_03.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\1367_selected_image.jpg,6
"dataset\CARRIER3_Panel aging, rust or breach\GESU5555768_140506_14.jpg",2
dataset\SHIPPER4_Panel or Sidewalls dirts\805_selected_image.jpg,7
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\343_selected_image.jpg,6
dataset\CARRIER2_Panel dents or scratches\578_selected_image.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\TEMU2421025_130611_03.jpg",4
dataset\SHIPPER4_Panel or Sidewalls dirts\973_selected_image.jpg,7
"dataset\CARRIER3_Panel aging, rust or breach\1255_selected_image.jpg",2
dataset\SHIPPER2_Panel or Sidewall protrusion\1421_selected_image.jpg,5
