img_path,label
dataset\owner\GESU6574546_131202_10.jpg,0
dataset\shipper\KWLU5091511_140506_02.jpg,1
dataset\shipper\TEMU 2422839-2.jpg,1
dataset\owner\KWLU2970203_131118_01.jpg,0
dataset\shipper\GESU6380242_130617_01.jpg,1
dataset\owner\GESU5115898_140606_02.jpg,0
dataset\owner\XINU8196230_130720_02.jpg,0
dataset\shipper\TEMU 2421534-1.jpg,1
dataset\owner\KWLU5092288_140617_02.jpg,0
dataset\owner\WFHU5029053-B.jpg,0
dataset\shipper\KWLU2070691+ (3).JPG,1
dataset\owner\TGHU6267590-2.jpg,0
dataset\owner\XINU8199800-2.jpg,0
dataset\owner\KWLU2092828_131207_05.jpg,0
dataset\owner\XINU8200979_131217_06.jpg,0
dataset\owner\XINU8196230_131001_03.jpg,0
dataset\owner\KWLU5132992-3.jpg,0
dataset\owner\KWLU4070089-3.jpg,0
dataset\owner\KWLU5130500-3.jpg,0
dataset\owner\GESU1406046_130520_04.jpg,0
dataset\owner\KWLU2092448_130603_03.jpg,0
dataset\shipper\TEMU2420707-2.jpg,1
dataset\owner\GESU6380371-2.jpg,0
dataset\shipper\KWLU2970311_140531_02.jpg,1
dataset\owner\TRLU5883395-A.jpg,0
dataset\owner\GESU2941474_130625_03.jpg,0
dataset\owner\GESU2723929_140219_02.jpg,0
dataset\owner\GESU6574865_131203_06.jpg,0
dataset\owner\XINU8199266_130720_03.jpg,0
dataset\owner\KWLU2536500-A.jpg,0
dataset\shipper\XINU4026318_131004_03.jpg,1
dataset\owner\22.jpg,0
dataset\owner\TEMU2422783_131224_04.jpg,0
dataset\shipper\KWLU3608689_130904_06.jpg,1
dataset\shipper\KWLU2090208_131118_03.jpg,1
dataset\owner\GESU1407361_140618_03.jpg,0
dataset\shipper\DSCF6252_0 (2).jpg,1
dataset\owner\GESU3902739-4.jpg,0
dataset\owner\GESU 3902868-1.jpg,0
dataset\owner\GESU1407931_130520_01.jpg,0
dataset\owner\KWLU2090759_140226_01.jpg,0
dataset\owner\KWLU2121905_130619_01.jpg,0
dataset\owner\GESU3276039_130802_03.jpg,0
dataset\shipper\85839.jpg,1
dataset\shipper\KWLU5132858_140607_05.jpg,1
dataset\shipper\85838_0 (2).jpg,1
dataset\shipper\DSCF4747_0.jpg,1
dataset\owner\WFHU1349526_140624_02.jpg,0
dataset\owner\GESU1405667_140219_05.jpg,0
dataset\owner\FCIU 8428870-1.jpg,0
dataset\owner\GESU3904942_140210_03.jpg,0
dataset\owner\KWLU5091363_130619_01.jpg,0
dataset\owner\KWLU2090152_140219_02.jpg,0
dataset\shipper\KWLU2070583_131118_02.jpg,1
dataset\owner\GESU3904855_140219_05.jpg,0
dataset\shipper\KWLU5091975- (1).JPG,1
dataset\shipper\WFHU4027020_130805_02.jpg,1
dataset\owner\TEMU2420651_130812_03.jpg,0
dataset\owner\TGHU6256126-B.jpg,0
dataset\shipper\GESU2723940_140227_06.jpg,1
dataset\shipper\KWLU2122440-C.jpg,1
dataset\owner\KWLU2092772-B.jpg,0
dataset\owner\KWLU2121762_130812_03.jpg,0
dataset\shipper\TRLU 8096095-2.jpg,1
dataset\shipper\K CXDU 1153664 (8) (Small)_0.jpg,1
dataset\owner\TEMU2425083-B.jpg,0
dataset\shipper\KWLU5092966_130617_03 (2).jpg,1
dataset\shipper\KWLU2122748_140624_04.jpg,1
dataset\owner\KWLU2090677_140618_05.jpg,0
dataset\shipper\TEMU 2421072-1.JPG,1
dataset\owner\KWLU5120163-A.jpg,0
dataset\owner\KWLU5121745-2.jpg,0
dataset\owner\KWLU5132185_140607_04.jpg,0
dataset\shipper\GESU1406030_130520_07.jpg,1
dataset\owner\GESU2712565_130904_03.jpg,0
dataset\shipper\KWCU 3627396-2.jpg,1
dataset\shipper\KWLU2092181_140227_02.jpg,1
dataset\shipper\KWLU 5121895-3.jpg,1
dataset\owner\KWLU2092047_130401_01.jpg,0
dataset\shipper\FCIU2361487_130723_01.jpg,1
dataset\shipper\KWLU5122870_131220_03.jpg,1
dataset\owner\GESU6380793_131004_04.jpg,0
dataset\owner\KWLU2970029_130930_04.jpg,0
dataset\owner\GESU2405912_131118_02.jpg,0
dataset\owner\KWLU5120800-2.jpg,0
dataset\owner\TGHU6549443-2.jpg,0
dataset\shipper\TEMU2423795 (1).JPG,1
dataset\owner\GESU3303659_130624_03.jpg,0
dataset\shipper\TEMU2420409_130520_04.jpg,1
dataset\shipper\DSCF0033_0.jpg,1
dataset\shipper\GESU 3904074-2.JPG,1
dataset\owner\TEMU2420939-2.jpg,0
dataset\shipper\KWLU 5090602-2.jpg,1
dataset\shipper\TGHU6549443-6.jpg,1
dataset\owner\WFHU1349526_140624_07.jpg,0
dataset\shipper\GESU1405688_140618_04.jpg,1
dataset\shipper\GESU2593635_131129_02.jpg,1
dataset\shipper\TEMU2424913_140625_05.jpg,1
dataset\shipper\KWLU2090717_130625_02.jpg,1
dataset\shipper\TGHU6266525_131004_02.jpg,1
dataset\owner\KWLU2070330_140227_02.jpg,0
dataset\owner\KWLU5132729-2.jpg,0
dataset\owner\KWLU2070881_130823_03.jpg,0
dataset\shipper\TGHU6549968_131126_04.jpg,1
dataset\shipper\1697183732427_0.jpg,1
dataset\owner\KWLU5090840-1.jpg,0
dataset\owner\GESU 3904198-1-1.jpg,0
dataset\owner\XINU8196272_130930_07.jpg,0
dataset\shipper\WFHU 5133427-1.jpg,1
dataset\owner\KWLU2092129-A.jpg,0
dataset\owner\KWLU5130500-5.jpg,0
dataset\owner\SCZU7934813+ (2).JPG,0
dataset\owner\GESU6574130_140617_03.jpg,0
dataset\shipper\UESU4707900_140623_03.jpg,1
dataset\owner\KWLU5132992-2.jpg,0
dataset\owner\KWLU2090928_140411_05.jpg,0
dataset\shipper\GESU6380793_131004_08.jpg,1
dataset\owner\WFHU5133324-4.jpg,0
dataset\owner\TEMU2421703_130702_03.jpg,0
dataset\owner\WFHU5140827-2.jpg,0
dataset\shipper\KWLU2070330_140227_04.jpg,1
dataset\owner\KWLU5091759-3.jpg,0
dataset\owner\TEMU2421914_131225_05.jpg,0
dataset\shipper\GESU2640300_140618_03.jpg,1
dataset\owner\KWLU2121850-4.jpg,0
dataset\owner\GESU3904773_130610_01.jpg,0
dataset\shipper\KWLU 2090954-3-1.JPG,1
dataset\owner\XINU8199800-D.jpg,0
dataset\shipper\DSCF6264_0.jpg,1
dataset\owner\GESU6576831_130720_01.jpg,0
dataset\owner\KWLU5092652_131004_02.jpg,0
dataset\owner\KWLU2120730_130824_02.jpg,0
dataset\owner\GESU6576636_131202_03.jpg,0
dataset\owner\WFHU5137593_131004_04.jpg,0
dataset\owner\XINU4026637_130930_05.jpg,0
dataset\owner\GESU2503652_130930_02.jpg,0
